iter	Passed	Remaining
0	199	199343
1	242	121168
2	278	92599
3	319	79449
4	366	72862
5	444	73657
6	497	70528
7	540	67023
8	585	64520
9	628	62263
10	671	60411
11	710	58530
12	751	57024
13	786	55379
14	825	54183
15	867	53345
16	911	52708
17	954	52054
18	995	51408
19	1034	50679
20	1076	50172
21	1119	49780
22	1162	49361
23	1202	48920
24	1247	48642
25	1284	48121
26	1326	47804
27	1364	47356
28	1402	46956
29	1443	46677
30	1485	46418
31	1526	46163
32	1564	45832
33	1609	45730
34	1656	45660
35	1695	45391
36	1732	45094
37	1768	44781
38	1806	44519
39	1843	44238
40	1880	43974
41	1920	43800
42	1957	43557
43	1991	43275
44	2030	43084
45	2070	42948
46	2113	42847
47	2151	42680
48	2190	42507
49	2227	42321
50	2266	42178
51	2307	42061
52	2346	41930
53	2382	41731
54	2419	41564
55	2459	41460
56	2496	41296
57	2534	41167
58	2576	41100
59	2618	41024
60	2659	40942
61	2695	40786
62	2732	40640
63	2770	40512
64	2808	40396
65	2847	40297
66	2885	40177
67	2922	40049
68	2960	39942
69	2996	39805
70	3035	39716
71	3074	39633
72	3119	39616
73	3163	39588
74	3201	39482
75	3238	39369
76	3277	39284
77	3315	39196
78	3351	39074
79	3386	38939
80	3422	38836
81	3465	38799
82	3500	38677
83	3542	38627
84	3582	38561
85	3623	38505
86	3669	38509
87	3708	38428
88	3745	38340
89	3783	38258
90	3820	38167
91	3857	38073
92	3896	38002
93	3935	37933
94	3976	37883
95	4015	37808
96	4053	37739
97	4097	37712
98	4143	37708
99	4190	37715
100	4234	37688
101	4283	37707
102	4329	37703
103	4376	37708
104	4415	37638
105	4454	37566
106	4491	37485
107	4528	37400
108	4566	37327
109	4609	37299
110	4655	37286
111	4695	37230
112	4739	37205
113	4782	37171
114	4819	37093
115	4861	37045
116	4900	36984
117	4937	36903
118	4977	36851
119	5017	36797
120	5061	36767
121	5102	36724
122	5148	36709
123	5191	36674
124	5233	36632
125	5277	36604
126	5314	36528
127	5353	36469
128	5394	36424
129	5429	36334
130	5468	36273
131	5504	36197
132	5543	36138
133	5583	36083
134	5623	36031
135	5667	36008
136	5708	35960
137	5744	35884
138	5783	35823
139	5818	35745
140	5856	35678
141	5893	35612
142	5928	35531
143	5967	35471
144	6004	35406
145	6041	35341
146	6079	35276
147	6121	35237
148	6161	35189
149	6201	35143
150	6242	35097
151	6279	35032
152	6322	34998
153	6360	34941
154	6398	34883
155	6433	34807
156	6470	34741
157	6506	34672
158	6541	34599
159	6579	34540
160	6620	34500
161	6661	34459
162	6702	34415
163	6737	34347
164	6775	34288
165	6812	34225
166	6852	34178
167	6890	34122
168	6930	34078
169	6969	34026
170	7005	33962
171	7041	33897
172	7081	33853
173	7124	33819
174	7164	33773
175	7215	33779
176	7251	33719
177	7288	33656
178	7325	33599
179	7364	33550
180	7403	33501
181	7440	33443
182	7478	33385
183	7515	33327
184	7554	33279
185	7592	33227
186	7637	33203
187	7680	33172
188	7715	33106
189	7751	33047
190	7789	32994
191	7825	32934
192	7863	32880
193	7903	32836
194	7942	32786
195	7980	32737
196	8017	32681
197	8055	32627
198	8100	32603
199	8141	32565
200	8179	32513
201	8216	32460
202	8253	32402
203	8293	32362
204	8338	32336
205	8375	32282
206	8413	32231
207	8451	32182
208	8485	32115
209	8526	32077
210	8564	32025
211	8605	31987
212	8645	31944
213	8684	31898
214	8722	31848
215	8759	31795
216	8796	31740
217	8832	31683
218	8871	31636
219	8911	31596
220	8947	31540
221	8985	31491
222	9020	31429
223	9054	31367
224	9094	31326
225	9136	31290
226	9177	31250
227	9216	31205
228	9251	31148
229	9286	31090
230	9326	31046
231	9361	30990
232	9402	30951
233	9438	30897
234	9479	30859
235	9527	30842
236	9567	30800
237	9608	30763
238	9652	30735
239	9693	30695
240	9732	30651
241	9768	30595
242	9806	30548
243	9843	30497
244	9881	30450
245	9920	30406
246	9962	30370
247	9998	30318
248	10033	30261
249	10071	30213
250	10112	30175
251	10152	30133
252	10189	30084
253	10222	30022
254	10258	29969
255	10297	29927
256	10336	29883
257	10374	29836
258	10413	29793
259	10452	29749
260	10492	29709
261	10532	29669
262	10571	29624
263	10618	29604
264	10659	29564
265	10698	29521
266	10736	29474
267	10774	29429
268	10813	29385
269	10851	29338
270	10891	29299
271	10929	29252
272	10969	29212
273	11009	29171
274	11046	29122
275	11083	29073
276	11122	29031
277	11165	28997
278	11207	28962
279	11246	28919
280	11283	28870
281	11321	28824
282	11361	28785
283	11397	28733
284	11433	28683
285	11470	28636
286	11513	28602
287	11551	28558
288	11591	28518
289	11632	28480
290	11677	28451
291	11717	28409
292	11756	28367
293	11793	28319
294	11833	28280
295	11871	28235
296	11914	28201
297	11950	28151
298	11987	28105
299	12026	28062
300	12068	28026
301	12115	28002
302	12158	27968
303	12202	27937
304	12243	27898
305	12281	27853
306	12320	27810
307	12360	27772
308	12404	27739
309	12445	27701
310	12487	27665
311	12532	27635
312	12574	27599
313	12618	27568
314	12662	27536
315	12703	27497
316	12745	27460
317	12789	27429
318	12833	27397
319	12877	27364
320	12919	27328
321	12962	27293
322	13006	27260
323	13044	27217
324	13091	27189
325	13131	27148
326	13169	27104
327	13210	27064
328	13249	27022
329	13292	26987
330	13332	26945
331	13372	26906
332	13415	26871
333	13455	26830
334	13492	26784
335	13532	26743
336	13578	26713
337	13622	26680
338	13663	26641
339	13707	26609
340	13746	26565
341	13788	26528
342	13828	26488
343	13870	26451
344	13908	26406
345	13948	26364
346	13987	26322
347	14029	26285
348	14073	26251
349	14115	26213
350	14157	26178
351	14196	26135
352	14235	26092
353	14274	26049
354	14314	26007
355	14354	25966
356	14395	25928
357	14434	25885
358	14473	25842
359	14512	25800
360	14561	25774
361	14605	25741
362	14647	25703
363	14689	25665
364	14730	25626
365	14765	25578
366	14804	25535
367	14845	25496
368	14886	25456
369	14928	25418
370	14969	25379
371	15009	25337
372	15053	25303
373	15095	25266
374	15144	25241
375	15183	25198
376	15222	25155
377	15265	25119
378	15307	25081
379	15344	25035
380	15405	25029
381	15454	25002
382	15492	24957
383	15536	24923
384	15580	24887
385	15623	24851
386	15662	24809
387	15706	24773
388	15746	24732
389	15787	24693
390	15826	24650
391	15867	24610
392	15909	24571
393	15948	24529
394	15987	24487
395	16034	24456
396	16081	24426
397	16126	24391
398	16163	24347
399	16209	24313
400	16248	24271
401	16288	24229
402	16327	24187
403	16368	24147
404	16410	24109
405	16449	24067
406	16489	24024
407	16529	23983
408	16571	23945
409	16612	23906
410	16649	23860
411	16686	23815
412	16734	23784
413	16796	23774
414	16834	23729
415	16876	23692
416	16916	23650
417	16952	23604
418	16990	23559
419	17030	23518
420	17072	23480
421	17114	23441
422	17152	23397
423	17191	23353
424	17231	23312
425	17269	23268
426	17304	23221
427	17343	23178
428	17382	23136
429	17421	23093
430	17460	23050
431	17496	23005
432	17537	22964
433	17578	22925
434	17622	22888
435	17660	22845
436	17697	22800
437	17734	22755
438	17772	22711
439	17815	22674
440	17857	22635
441	17894	22591
442	17930	22545
443	17970	22503
444	18010	22462
445	18053	22425
446	18092	22382
447	18129	22338
448	18168	22295
449	18204	22250
450	18241	22205
451	18282	22165
452	18320	22122
453	18359	22079
454	18399	22039
455	18442	22001
456	18478	21956
457	18518	21914
458	18561	21877
459	18601	21835
460	18643	21798
461	18684	21758
462	18720	21712
463	18758	21668
464	18798	21628
465	18839	21588
466	18878	21546
467	18916	21503
468	18951	21456
469	18986	21410
470	19027	21370
471	19071	21333
472	19117	21300
473	19159	21261
474	19203	21224
475	19241	21182
476	19282	21141
477	19326	21105
478	19368	21066
479	19404	21022
480	19440	20976
481	19478	20932
482	19518	20892
483	19555	20848
484	19597	20809
485	19640	20771
486	19678	20729
487	19716	20686
488	19759	20648
489	19801	20610
490	19838	20565
491	19875	20522
492	19915	20480
493	19952	20437
494	19988	20391
495	20026	20349
496	20068	20311
497	20111	20273
498	20153	20234
499	20196	20196
500	20234	20153
501	20271	20109
